#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,alice,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
1,0,alice,-,AnBx_Params,alice;@7fee8714,anbxj.AnBx_Params
1,0,alice,bob,sent,alice;@7fee8714,javax.crypto.SealedObject
1,0,bob,alice,received,alice;@7fee8714,javax.crypto.SealedObject
1,0,bob,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
1,0,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,0,bob,-,eq_check,alice,java.lang.String.toString
1,1,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,1,bob,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,1,bob,-,AnBx_Params,X4;X3,anbxj.AnBx_Params
1,1,bob,alice,sent,@52af26ee,javax.crypto.SealedObject
1,1,alice,bob,received,@52af26ee,javax.crypto.SealedObject
1,1,alice,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
1,2,alice,bob,sent,@550dbc7a,javax.crypto.SealedObject
1,2,bob,alice,received,@550dbc7a,javax.crypto.SealedObject
1,2,bob,-,eq_check,X5,anbxj.Crypto_ByteArray.toString
1,3,bob,alice,sent,@342c38f8,javax.crypto.SealedObject
1,3,alice,bob,received,@342c38f8,javax.crypto.SealedObject
1,3,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
1,3,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
2,0,alice,-,generateNumber,X6,anbxj.Crypto_ByteArray
2,0,alice,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
2,0,alice,-,AnBx_Params,alice;@7db12bb6,anbxj.AnBx_Params
2,0,alice,bob,sent,alice;@7db12bb6,javax.crypto.SealedObject
2,0,bob,alice,received,alice;@7db12bb6,javax.crypto.SealedObject
2,0,bob,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
2,0,bob,-,inv_check,X6,anbxj.Crypto_ByteArray.toString
2,0,bob,-,eq_check,alice,java.lang.String.toString
2,1,bob,-,generateNumber,X7,anbxj.Crypto_ByteArray
2,1,bob,-,generateNumber,X8,anbxj.Crypto_ByteArray
2,1,bob,-,AnBx_Params,X9;X8,anbxj.AnBx_Params
2,1,bob,alice,sent,@729d991e,javax.crypto.SealedObject
