#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
00:00:00:000,1,0,alice,-,eq_check,alice!,java.lang.String.toString
10:51:48:619,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
10:51:48:645,1,0,alice,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
10:51:48:717,1,0,alice,-,AnBx_Params,alice;@2ed2d9cb;X1;X0,anbxj.AnBx_Params
10:51:48:724,1,0,alice,bob,sent,alice;@2ed2d9cb;X1;X0,javax.crypto.SealedObject
10:51:48:815,1,0,bob,alice,received,alice;@2ed2d9cb;X1;X0,javax.crypto.SealedObject
10:51:48:818,1,0,bob,-,eq_check,alice,java.lang.String.toString
10:51:48:829,1,1,bob,-,AnBx_Params,alice;@2ef5e5e3,anbxj.AnBx_Params
10:51:48:898,1,1,bob,charlie,sent,alice;@2ef5e5e3,javax.crypto.SealedObject
10:51:48:969,1,1,charlie,bob,received,alice;@2ef5e5e3,javax.crypto.SealedObject
10:51:48:981,1,1,charlie,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
10:51:48:982,1,1,charlie,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
10:51:48:994,1,1,charlie,-,eq_check,alice,java.lang.String.toString
10:51:49:008,1,2,charlie,-,generateNumber,X2,anbxj.Crypto_ByteArray
10:51:49:037,1,2,charlie,-,generateNumber,X3,anbxj.Crypto_ByteArray
10:51:49:050,1,2,charlie,-,AnBx_Params,X4;X3,anbxj.AnBx_Params
10:51:49:113,1,2,charlie,bob,sent,X4;X3,javax.crypto.SealedObject
10:51:49:156,1,2,bob,charlie,received,X4;X3,javax.crypto.SealedObject
10:51:49:157,1,2,bob,-,inv_check,@f736069,javax.crypto.SealedObject.toString
10:51:49:172,1,2,bob,-,inv_check,@2ef5e5e3,javax.crypto.SealedObject.toString
10:51:49:174,1,3,bob,alice,sent,@f736069,javax.crypto.SealedObject
10:51:49:222,1,3,alice,bob,received,@f736069,javax.crypto.SealedObject
10:51:49:250,1,3,alice,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
10:51:49:251,1,4,alice,bob,sent,@290222c1,javax.crypto.SealedObject
10:51:49:296,1,4,bob,alice,received,@290222c1,javax.crypto.SealedObject
10:51:49:296,1,4,bob,-,inv_check,@1af2d44a,javax.crypto.SealedObject.toString
10:51:49:297,1,5,bob,charlie,sent,@1af2d44a,javax.crypto.SealedObject
10:51:49:341,1,5,charlie,bob,received,@1af2d44a,javax.crypto.SealedObject
10:51:49:344,1,5,charlie,-,eq_check,X5,anbxj.Crypto_ByteArray.toString
10:51:49:346,1,6,charlie,bob,sent,@6392827e,javax.crypto.SealedObject
10:51:49:390,1,6,bob,charlie,received,@6392827e,javax.crypto.SealedObject
10:51:49:391,1,6,bob,-,inv_check,@58695725,javax.crypto.SealedObject.toString
10:51:49:393,1,7,bob,alice,sent,@58695725,javax.crypto.SealedObject
10:51:49:439,1,7,alice,bob,received,@58695725,javax.crypto.SealedObject
10:51:49:440,1,7,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
10:51:49:454,1,7,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
00:00:00:000,2,0,alice,-,eq_check,alice!,java.lang.String.toString
10:51:49:456,2,0,alice,-,generateNumber,X6,anbxj.Crypto_ByteArray
10:51:49:469,2,0,alice,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
10:51:49:473,2,0,alice,-,AnBx_Params,alice;@942a29c;X1;X6,anbxj.AnBx_Params
10:51:49:474,2,0,alice,bob,sent,alice;@942a29c;X1;X6,javax.crypto.SealedObject
10:51:49:515,2,0,bob,alice,received,alice;@942a29c;X1;X6,javax.crypto.SealedObject
10:51:49:515,2,0,bob,-,eq_check,alice,java.lang.String.toString
10:51:49:516,2,1,bob,-,AnBx_Params,alice;@4fb3ee4e,anbxj.AnBx_Params
10:51:49:517,2,1,bob,charlie,sent,alice;@4fb3ee4e,javax.crypto.SealedObject
10:51:49:558,2,1,charlie,bob,received,alice;@4fb3ee4e,javax.crypto.SealedObject
10:51:49:564,2,1,charlie,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
10:51:49:564,2,1,charlie,-,inv_check,X6,anbxj.Crypto_ByteArray.toString
10:51:49:564,2,1,charlie,-,eq_check,alice,java.lang.String.toString
10:51:49:564,2,2,charlie,-,generateNumber,X7,anbxj.Crypto_ByteArray
10:51:49:576,2,2,charlie,-,generateNumber,X8,anbxj.Crypto_ByteArray
10:51:49:589,2,2,charlie,-,AnBx_Params,X9;X8,anbxj.AnBx_Params
10:51:49:595,2,2,charlie,bob,sent,X9;X8,javax.crypto.SealedObject
10:51:49:639,2,2,bob,charlie,received,X9;X8,javax.crypto.SealedObject
10:51:49:639,2,2,bob,-,inv_check,@342c38f8,javax.crypto.SealedObject.toString
10:51:49:639,2,2,bob,-,inv_check,@4fb3ee4e,javax.crypto.SealedObject.toString
10:51:49:640,2,3,bob,alice,sent,@342c38f8,javax.crypto.SealedObject
10:51:49:683,2,3,alice,bob,received,@342c38f8,javax.crypto.SealedObject
