#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,alice,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
1,0,alice,-,AnBx_Params,alice;@14acaea5,anbxj.AnBx_Params
1,0,alice,charlie,sent,alice;@14acaea5,javax.crypto.SealedObject
1,0,charlie,-,eq_check,charlie!,java.lang.String.toString
1,0,charlie,-,eq_check,charlie!,java.lang.String.toString
1,0,charlie,alice,received,alice;@14acaea5,javax.crypto.SealedObject
1,0,charlie,-,eq_check,alice,java.lang.String.toString
1,1,charlie,-,AnBx_Params,alice;@6d8a00e3,anbxj.AnBx_Params
1,1,charlie,bob,sent,alice;@6d8a00e3,javax.crypto.SealedObject
1,1,bob,charlie,received,alice;@6d8a00e3,javax.crypto.SealedObject
1,1,bob,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
1,1,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,1,bob,-,eq_check,alice,java.lang.String.toString
1,2,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,2,bob,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,X4;X3,anbxj.AnBx_Params
1,2,bob,charlie,sent,@28feb3fa,javax.crypto.SealedObject
1,2,charlie,bob,received,@28feb3fa,javax.crypto.SealedObject
1,2,charlie,-,inv_check,@51081592,javax.crypto.SealedObject.toString
1,2,charlie,-,inv_check,@6d8a00e3,javax.crypto.SealedObject.toString
1,3,charlie,alice,sent,@51081592,javax.crypto.SealedObject
1,3,alice,charlie,received,@51081592,javax.crypto.SealedObject
1,3,alice,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
1,4,alice,charlie,sent,@1bce4f0a,javax.crypto.SealedObject
1,4,charlie,alice,received,@1bce4f0a,javax.crypto.SealedObject
1,4,charlie,-,inv_check,@20e2cbe0,javax.crypto.SealedObject.toString
1,5,charlie,bob,sent,@20e2cbe0,javax.crypto.SealedObject
1,5,bob,charlie,received,@20e2cbe0,javax.crypto.SealedObject
1,5,bob,-,eq_check,X5,anbxj.Crypto_ByteArray.toString
1,6,bob,charlie,sent,@29ee9faa,javax.crypto.SealedObject
1,6,charlie,bob,received,@29ee9faa,javax.crypto.SealedObject
1,6,charlie,-,inv_check,@675d3402,javax.crypto.SealedObject.toString
1,7,charlie,alice,sent,@675d3402,javax.crypto.SealedObject
1,7,alice,charlie,received,@675d3402,javax.crypto.SealedObject
1,7,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
1,7,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
2,0,alice,-,eq_check,alice!,java.lang.String.toString
2,0,alice,-,generateNumber,X6,anbxj.Crypto_ByteArray
2,0,alice,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
2,0,alice,-,AnBx_Params,alice;@5442a311,anbxj.AnBx_Params
2,0,alice,charlie,sent,alice;@5442a311,javax.crypto.SealedObject
2,0,charlie,-,eq_check,charlie!,java.lang.String.toString
2,0,charlie,-,eq_check,charlie!,java.lang.String.toString
