#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,alice,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,0,alice,-,AnBx_Params,X1;bob;X0,anbxj.AnBx_Params
1,0,alice,bob,sent,@7f9a81e8,javax.crypto.SealedObject
1,0,bob,alice,received,@7f9a81e8,javax.crypto.SealedObject
1,0,bob,-,AnBx_Params,X1;bob;X0,anbxj.AnBx_Params
1,0,bob,-,eq_check,bob,java.lang.String.toString
1,1,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,1,bob,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,1,bob,-,AnBx_Params,X3;alice;X2,anbxj.AnBx_Params
1,1,bob,alice,sent,@4f933fd1,javax.crypto.SealedObject
1,1,alice,bob,received,@4f933fd1,javax.crypto.SealedObject
1,1,alice,-,AnBx_Params,X3;alice;X2,anbxj.AnBx_Params
1,1,alice,-,eq_check,alice,java.lang.String.toString
2,0,alice,-,generateNumber,X4,anbxj.Crypto_ByteArray
2,0,alice,-,generateNumber,X5,anbxj.Crypto_ByteArray
2,0,alice,-,AnBx_Params,X5;bob;X4,anbxj.AnBx_Params
2,0,alice,bob,sent,@3532ec19,javax.crypto.SealedObject
2,0,bob,alice,received,@3532ec19,javax.crypto.SealedObject
2,0,bob,-,AnBx_Params,X5;bob;X4,anbxj.AnBx_Params
2,0,bob,-,eq_check,bob,java.lang.String.toString
2,1,bob,-,generateNumber,X6,anbxj.Crypto_ByteArray
2,1,bob,-,generateNumber,X7,anbxj.Crypto_ByteArray
2,1,bob,-,AnBx_Params,X7;alice;X6,anbxj.AnBx_Params
2,1,bob,alice,sent,@4cc0edeb,javax.crypto.SealedObject
2,1,alice,bob,received,@4cc0edeb,javax.crypto.SealedObject
2,1,alice,-,AnBx_Params,X7;alice;X6,anbxj.AnBx_Params
2,1,alice,-,eq_check,alice,java.lang.String.toString
3,0,alice,-,generateNumber,X8,anbxj.Crypto_ByteArray
3,0,alice,-,generateNumber,X9,anbxj.Crypto_ByteArray
3,0,alice,-,AnBx_Params,X9;bob;X8,anbxj.AnBx_Params
3,0,alice,bob,sent,@42d80b78,javax.crypto.SealedObject
3,0,bob,alice,received,@42d80b78,javax.crypto.SealedObject
3,0,bob,-,AnBx_Params,X9;bob;X8,anbxj.AnBx_Params
3,0,bob,-,eq_check,bob,java.lang.String.toString
3,1,bob,-,generateNumber,X10,anbxj.Crypto_ByteArray
3,1,bob,-,generateNumber,X11,anbxj.Crypto_ByteArray
3,1,bob,-,AnBx_Params,X11;alice;X10,anbxj.AnBx_Params
3,1,bob,alice,sent,@8bd1b6a,javax.crypto.SealedObject
3,1,alice,bob,received,@8bd1b6a,javax.crypto.SealedObject
3,1,alice,-,AnBx_Params,X11;alice;X10,anbxj.AnBx_Params
3,1,alice,-,eq_check,alice,java.lang.String.toString
4,0,alice,-,generateNumber,X12,anbxj.Crypto_ByteArray
4,0,alice,-,generateNumber,X13,anbxj.Crypto_ByteArray
4,0,alice,-,AnBx_Params,X13;bob;X12,anbxj.AnBx_Params
4,0,alice,bob,sent,@6d4b1c02,javax.crypto.SealedObject
4,0,bob,alice,received,@6d4b1c02,javax.crypto.SealedObject
4,0,bob,-,AnBx_Params,X13;bob;X12,anbxj.AnBx_Params
4,0,bob,-,eq_check,bob,java.lang.String.toString
4,1,bob,-,generateNumber,X14,anbxj.Crypto_ByteArray
4,1,bob,-,generateNumber,X15,anbxj.Crypto_ByteArray
4,1,bob,-,AnBx_Params,X15;alice;X14,anbxj.AnBx_Params
4,1,bob,alice,sent,@4501b7af,javax.crypto.SealedObject
4,1,alice,bob,received,@4501b7af,javax.crypto.SealedObject
4,1,alice,-,AnBx_Params,X15;alice;X14,anbxj.AnBx_Params
4,1,alice,-,eq_check,alice,java.lang.String.toString
5,0,alice,-,generateNumber,X16,anbxj.Crypto_ByteArray
5,0,alice,-,generateNumber,X17,anbxj.Crypto_ByteArray
5,0,alice,-,AnBx_Params,X17;bob;X16,anbxj.AnBx_Params
5,0,alice,bob,sent,@77cd7a0,javax.crypto.SealedObject
5,0,bob,alice,received,@77cd7a0,javax.crypto.SealedObject
5,0,bob,-,AnBx_Params,X17;bob;X16,anbxj.AnBx_Params
5,0,bob,-,eq_check,bob,java.lang.String.toString
5,1,bob,-,generateNumber,X18,anbxj.Crypto_ByteArray
5,1,bob,-,generateNumber,X19,anbxj.Crypto_ByteArray
5,1,bob,-,AnBx_Params,X19;alice;X18,anbxj.AnBx_Params
5,1,bob,alice,sent,@59f99ea,javax.crypto.SealedObject
5,1,alice,bob,received,@59f99ea,javax.crypto.SealedObject
5,1,alice,-,AnBx_Params,X19;alice;X18,anbxj.AnBx_Params
5,1,alice,-,eq_check,alice,java.lang.String.toString
6,0,alice,-,generateNumber,X20,anbxj.Crypto_ByteArray
6,0,alice,-,generateNumber,X21,anbxj.Crypto_ByteArray
6,0,alice,-,AnBx_Params,X21;bob;X20,anbxj.AnBx_Params
6,0,alice,bob,sent,@3abbfa04,javax.crypto.SealedObject
6,0,bob,alice,received,@3abbfa04,javax.crypto.SealedObject
6,0,bob,-,AnBx_Params,X21;bob;X20,anbxj.AnBx_Params
6,0,bob,-,eq_check,bob,java.lang.String.toString
6,1,bob,-,generateNumber,X22,anbxj.Crypto_ByteArray
6,1,bob,-,generateNumber,X23,anbxj.Crypto_ByteArray
6,1,bob,-,AnBx_Params,X23;alice;X22,anbxj.AnBx_Params
6,1,bob,alice,sent,@5e3a8624,javax.crypto.SealedObject
6,1,alice,bob,received,@5e3a8624,javax.crypto.SealedObject
6,1,alice,-,AnBx_Params,X23;alice;X22,anbxj.AnBx_Params
6,1,alice,-,eq_check,alice,java.lang.String.toString
7,0,alice,-,generateNumber,X24,anbxj.Crypto_ByteArray
7,0,alice,-,generateNumber,X25,anbxj.Crypto_ByteArray
7,0,alice,-,AnBx_Params,X25;bob;X24,anbxj.AnBx_Params
7,0,alice,bob,sent,@42dafa95,javax.crypto.SealedObject
7,0,bob,alice,received,@42dafa95,javax.crypto.SealedObject
7,0,bob,-,AnBx_Params,X25;bob;X24,anbxj.AnBx_Params
7,0,bob,-,eq_check,bob,java.lang.String.toString
7,1,bob,-,generateNumber,X26,anbxj.Crypto_ByteArray
7,1,bob,-,generateNumber,X27,anbxj.Crypto_ByteArray
7,1,bob,-,AnBx_Params,X27;alice;X26,anbxj.AnBx_Params
7,1,bob,alice,sent,@4883b407,javax.crypto.SealedObject
7,1,alice,bob,received,@4883b407,javax.crypto.SealedObject
7,1,alice,-,AnBx_Params,X27;alice;X26,anbxj.AnBx_Params
7,1,alice,-,eq_check,alice,java.lang.String.toString
8,0,alice,-,generateNumber,X28,anbxj.Crypto_ByteArray
8,0,alice,-,generateNumber,X29,anbxj.Crypto_ByteArray
8,0,alice,-,AnBx_Params,X29;bob;X28,anbxj.AnBx_Params
8,0,alice,bob,sent,@e45f292,javax.crypto.SealedObject
8,0,bob,alice,received,@e45f292,javax.crypto.SealedObject
8,0,bob,-,AnBx_Params,X29;bob;X28,anbxj.AnBx_Params
8,0,bob,-,eq_check,bob,java.lang.String.toString
8,1,bob,-,generateNumber,X30,anbxj.Crypto_ByteArray
8,1,bob,-,generateNumber,X31,anbxj.Crypto_ByteArray
8,1,bob,-,AnBx_Params,X31;alice;X30,anbxj.AnBx_Params
8,1,bob,alice,sent,@204f30ec,javax.crypto.SealedObject
8,1,alice,bob,received,@204f30ec,javax.crypto.SealedObject
8,1,alice,-,AnBx_Params,X31;alice;X30,anbxj.AnBx_Params
8,1,alice,-,eq_check,alice,java.lang.String.toString
9,0,alice,-,generateNumber,X32,anbxj.Crypto_ByteArray
9,0,alice,-,generateNumber,X33,anbxj.Crypto_ByteArray
9,0,alice,-,AnBx_Params,X33;bob;X32,anbxj.AnBx_Params
9,0,alice,bob,sent,@6e1567f1,javax.crypto.SealedObject
9,0,bob,alice,received,@6e1567f1,javax.crypto.SealedObject
9,0,bob,-,AnBx_Params,X33;bob;X32,anbxj.AnBx_Params
9,0,bob,-,eq_check,bob,java.lang.String.toString
9,1,bob,-,generateNumber,X34,anbxj.Crypto_ByteArray
9,1,bob,-,generateNumber,X35,anbxj.Crypto_ByteArray
9,1,bob,-,AnBx_Params,X35;alice;X34,anbxj.AnBx_Params
9,1,bob,alice,sent,@57fffcd7,javax.crypto.SealedObject
9,1,alice,bob,received,@57fffcd7,javax.crypto.SealedObject
9,1,alice,-,AnBx_Params,X35;alice;X34,anbxj.AnBx_Params
9,1,alice,-,eq_check,alice,java.lang.String.toString
10,0,alice,-,generateNumber,X36,anbxj.Crypto_ByteArray
10,0,alice,-,generateNumber,X37,anbxj.Crypto_ByteArray
10,0,alice,-,AnBx_Params,X37;bob;X36,anbxj.AnBx_Params
10,0,alice,bob,sent,@4b952a2d,javax.crypto.SealedObject
10,0,bob,alice,received,@4b952a2d,javax.crypto.SealedObject
10,0,bob,-,AnBx_Params,X37;bob;X36,anbxj.AnBx_Params
10,0,bob,-,eq_check,bob,java.lang.String.toString
10,1,bob,-,generateNumber,X38,anbxj.Crypto_ByteArray
10,1,bob,-,generateNumber,X39,anbxj.Crypto_ByteArray
10,1,bob,-,AnBx_Params,X39;alice;X38,anbxj.AnBx_Params
10,1,bob,alice,sent,@6500df86,javax.crypto.SealedObject
10,1,alice,bob,received,@6500df86,javax.crypto.SealedObject
10,1,alice,-,AnBx_Params,X39;alice;X38,anbxj.AnBx_Params
10,1,alice,-,eq_check,alice,java.lang.String.toString
