#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,alice,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,0,alice,-,AnBx_Params,X1;bob;X0,anbxj.AnBx_Params
1,0,alice,charlie,sent,@8bd1b6a,javax.crypto.SealedObject
1,0,charlie,-,eq_check,charlie!,java.lang.String.toString
1,0,charlie,-,eq_check,charlie!,java.lang.String.toString
1,0,charlie,alice,received,@8bd1b6a,javax.crypto.SealedObject
1,0,charlie,-,inv_check,@13a57a3b,javax.crypto.SealedObject.toString
1,1,charlie,bob,sent,@13a57a3b,javax.crypto.SealedObject
1,1,bob,charlie,received,@13a57a3b,javax.crypto.SealedObject
1,1,bob,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
1,1,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,1,bob,-,eq_check,bob,java.lang.String.toString
1,2,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,2,bob,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,X3;alice;X2,anbxj.AnBx_Params
1,2,bob,charlie,sent,@1e88b3c,javax.crypto.SealedObject
1,2,charlie,bob,received,@1e88b3c,javax.crypto.SealedObject
1,2,charlie,-,inv_check,@7c0e2abd,javax.crypto.SealedObject.toString
1,3,charlie,alice,sent,@7c0e2abd,javax.crypto.SealedObject
1,3,alice,charlie,received,@7c0e2abd,javax.crypto.SealedObject
1,3,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
1,3,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
1,3,alice,-,eq_check,alice,java.lang.String.toString
2,0,alice,-,eq_check,alice!,java.lang.String.toString
2,0,alice,-,generateNumber,X4,anbxj.Crypto_ByteArray
2,0,alice,-,generateNumber,X5,anbxj.Crypto_ByteArray
2,0,alice,-,AnBx_Params,X5;bob;X4,anbxj.AnBx_Params
2,0,alice,charlie,sent,@42d80b78,javax.crypto.SealedObject
2,0,charlie,-,eq_check,charlie!,java.lang.String.toString
2,0,charlie,-,eq_check,charlie!,java.lang.String.toString
2,0,charlie,alice,received,@42d80b78,javax.crypto.SealedObject
2,0,charlie,-,inv_check,@6d8a00e3,javax.crypto.SealedObject.toString
2,1,charlie,bob,sent,@6d8a00e3,javax.crypto.SealedObject
2,1,bob,charlie,received,@6d8a00e3,javax.crypto.SealedObject
2,1,bob,-,inv_check,X5,anbxj.Crypto_ByteArray.toString
2,1,bob,-,inv_check,X4,anbxj.Crypto_ByteArray.toString
2,1,bob,-,eq_check,bob,java.lang.String.toString
2,2,bob,-,generateNumber,X6,anbxj.Crypto_ByteArray
2,2,bob,-,generateNumber,X7,anbxj.Crypto_ByteArray
2,2,bob,-,AnBx_Params,X7;alice;X6,anbxj.AnBx_Params
2,2,bob,charlie,sent,@4883b407,javax.crypto.SealedObject
2,2,charlie,bob,received,@4883b407,javax.crypto.SealedObject
2,2,charlie,-,inv_check,@6d78f375,javax.crypto.SealedObject.toString
