#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
00:00:00:000,1,0,alice,-,eq_check,alice!,java.lang.String.toString
18:53:43:101,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
18:53:43:128,1,0,alice,-,generateNumber,X1,anbxj.Crypto_ByteArray
18:53:43:141,1,0,alice,-,AnBx_Params,X0;charlie;X1,anbxj.AnBx_Params
18:53:43:220,1,0,alice,bob,sent,X0;charlie;X1,javax.crypto.SealedObject
00:00:00:000,1,0,bob,-,eq_check,bob!,java.lang.String.toString
00:00:00:000,1,0,bob,-,eq_check,bob!,java.lang.String.toString
18:53:43:264,1,0,bob,alice,received,bob!,javax.crypto.SealedObject
18:53:43:264,1,0,bob,-,inv_check,@5034c75a,javax.crypto.SealedObject.toString
18:53:43:274,1,1,bob,charlie,sent,@5034c75a,javax.crypto.SealedObject
18:53:43:318,1,1,charlie,bob,received,@5034c75a,javax.crypto.SealedObject
18:53:43:342,1,1,charlie,-,AnBx_Params,X0;charlie;X1,anbxj.AnBx_Params
18:53:43:345,1,1,charlie,-,eq_check,charlie,java.lang.String.toString
18:53:43:355,1,2,charlie,-,generateNumber,X2,anbxj.Crypto_ByteArray
18:53:43:379,1,2,charlie,-,generateNumber,X3,anbxj.Crypto_ByteArray
18:53:43:391,1,2,charlie,-,AnBx_Params,X3;alice;X2,anbxj.AnBx_Params
18:53:43:453,1,2,charlie,bob,sent,X3;alice;X2,javax.crypto.SealedObject
18:53:43:494,1,2,bob,charlie,received,X3;alice;X2,javax.crypto.SealedObject
18:53:43:495,1,2,bob,-,inv_check,@4b9e13df,javax.crypto.SealedObject.toString
18:53:43:496,1,3,bob,alice,sent,@4b9e13df,javax.crypto.SealedObject
18:53:43:543,1,3,alice,bob,received,@4b9e13df,javax.crypto.SealedObject
18:53:43:570,1,3,alice,-,AnBx_Params,X3;alice;X2,anbxj.AnBx_Params
18:53:43:572,1,3,alice,-,eq_check,alice,java.lang.String.toString
00:00:00:000,2,0,alice,-,eq_check,alice!,java.lang.String.toString
18:53:43:572,2,0,alice,-,generateNumber,X4,anbxj.Crypto_ByteArray
18:53:43:584,2,0,alice,-,generateNumber,X5,anbxj.Crypto_ByteArray
18:53:43:595,2,0,alice,-,AnBx_Params,X4;charlie;X5,anbxj.AnBx_Params
18:53:43:600,2,0,alice,bob,sent,X4;charlie;X5,javax.crypto.SealedObject
00:00:00:000,2,0,bob,-,eq_check,bob!,java.lang.String.toString
00:00:00:000,2,0,bob,-,eq_check,bob!,java.lang.String.toString
18:53:43:642,2,0,bob,alice,received,bob!,javax.crypto.SealedObject
18:53:43:642,2,0,bob,-,inv_check,@4c70fda8,javax.crypto.SealedObject.toString
18:53:43:644,2,1,bob,charlie,sent,@4c70fda8,javax.crypto.SealedObject
18:53:43:687,2,1,charlie,bob,received,@4c70fda8,javax.crypto.SealedObject
18:53:43:703,2,1,charlie,-,AnBx_Params,X4;charlie;X5,anbxj.AnBx_Params
18:53:43:704,2,1,charlie,-,eq_check,charlie,java.lang.String.toString
18:53:43:704,2,2,charlie,-,generateNumber,X6,anbxj.Crypto_ByteArray
18:53:43:716,2,2,charlie,-,generateNumber,X7,anbxj.Crypto_ByteArray
18:53:43:728,2,2,charlie,-,AnBx_Params,X7;alice;X6,anbxj.AnBx_Params
18:53:43:735,2,2,charlie,bob,sent,X7;alice;X6,javax.crypto.SealedObject
18:53:43:775,2,2,bob,charlie,received,X7;alice;X6,javax.crypto.SealedObject
18:53:43:775,2,2,bob,-,inv_check,@46d56d67,javax.crypto.SealedObject.toString
