#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
11:08:34:823,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
11:08:34:847,1,0,alice,-,AnBx_Params,alice;bob;X0,anbxj.AnBx_Params
11:08:34:932,1,0,alice,bob,sent,alice;bob;X0,string
11:08:34:981,1,0,bob,alice,received,alice;bob;X0,string
11:08:34:984,1,0,bob,-,eq_check,bob,java.lang.String.toString
11:08:34:998,1,0,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
11:08:35:004,1,1,bob,-,generateNumber,X1,anbxj.Crypto_ByteArray
11:08:35:029,1,1,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
11:08:35:039,1,1,bob,-,AnBx_Params,alice;charlie;bob;X2;X0,anbxj.AnBx_Params
11:08:35:101,1,1,bob,alice,sent,alice;charlie;bob;X2;X0,string
11:08:35:146,1,1,alice,bob,received,alice;charlie;bob;X2;X0,string
11:08:35:149,1,1,alice,-,eq_check,alice,java.lang.String.toString
11:08:35:158,1,1,alice,-,eq_check,bob,java.lang.String.toString
11:08:35:158,1,1,alice,-,eq_check,charlie,java.lang.String.toString
11:08:35:158,1,1,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
11:08:35:158,1,2,alice,-,AnBx_Params,alice;charlie;bob;X2;X0,anbxj.AnBx_Params
11:08:35:167,1,2,alice,charlie,sent,alice;charlie;bob;X2;X0,string
11:08:35:236,1,2,charlie,alice,received,alice;charlie;bob;X2;X0,string
11:08:35:239,1,2,charlie,-,eq_check,alice,java.lang.String.toString
11:08:35:255,1,2,charlie,-,eq_check,charlie,java.lang.String.toString
11:08:35:255,1,3,charlie,-,AnBx_Params,alice;charlie,anbxj.AnBx_Params
11:08:35:361,1,3,charlie,-,AnBx_Params,@4bbf6d0e;X0;alice;charlie,anbxj.AnBx_Params
11:08:35:385,1,3,charlie,alice,sent,@4bbf6d0e;X0;alice;charlie,java.security.SignedObject
11:08:35:429,1,3,alice,charlie,received,@4bbf6d0e;X0;alice;charlie,java.security.SignedObject
11:08:35:430,1,3,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
11:08:35:437,1,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
11:08:35:448,1,3,alice,-,AnBx_Params,alice;charlie,anbxj.AnBx_Params
11:08:35:449,1,3,alice,-,eq_check,alice,java.lang.String.toString
11:08:35:449,1,3,alice,-,eq_check,charlie,java.lang.String.toString
11:08:35:449,1,3,alice,-,eq_check,alice;charlie,anbxj.AnBx_Params.toString
11:08:35:449,1,4,alice,-,AnBx_Params,@295cf707;X0,anbxj.AnBx_Params
11:08:35:458,1,4,alice,bob,sent,@295cf707;X0,java.security.SignedObject
11:08:35:503,1,4,bob,alice,received,@295cf707;X0,java.security.SignedObject
11:08:35:514,1,4,bob,-,eq_check,charlie,java.lang.String.toString
11:08:35:514,1,4,bob,-,eq_check,alice,java.lang.String.toString
11:08:35:514,1,4,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
11:08:35:515,1,5,bob,alice,sent,X1,string
11:08:35:560,1,5,alice,bob,received,X1,string
11:08:35:560,1,5,alice,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
11:08:35:560,2,0,alice,-,generateNumber,X3,anbxj.Crypto_ByteArray
11:08:35:571,2,0,alice,-,AnBx_Params,alice;bob;X3,anbxj.AnBx_Params
11:08:35:573,2,0,alice,bob,sent,alice;bob;X3,string
11:08:35:620,2,0,bob,alice,received,alice;bob;X3,string
11:08:35:620,2,0,bob,-,eq_check,bob,java.lang.String.toString
11:08:35:621,2,0,bob,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
11:08:35:622,2,1,bob,-,generateNumber,X4,anbxj.Crypto_ByteArray
11:08:35:635,2,1,bob,-,generateNumber,X5,anbxj.Crypto_ByteArray
11:08:35:648,2,1,bob,-,AnBx_Params,alice;charlie;bob;X5;X3,anbxj.AnBx_Params
11:08:35:654,2,1,bob,alice,sent,alice;charlie;bob;X5;X3,string
11:08:35:697,2,1,alice,bob,received,alice;charlie;bob;X5;X3,string
11:08:35:698,2,1,alice,-,eq_check,alice,java.lang.String.toString
11:08:35:699,2,1,alice,-,eq_check,bob,java.lang.String.toString
11:08:35:699,2,1,alice,-,eq_check,charlie,java.lang.String.toString
