#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,alice,-,AnBx_Params,alice;charlie;X0,anbxj.AnBx_Params
1,0,alice,bob,sent,@5e5792a0;@5b275dab,javax.crypto.SealedObject
1,0,bob,alice,received,@5e5792a0;@5b275dab,javax.crypto.SealedObject
1,0,bob,-,inv_check,@737996a0;@61dc03ce,anbxj.Crypto_SealedPair.toString
1,1,bob,charlie,sent,@737996a0;@61dc03ce,javax.crypto.SealedObject
1,1,charlie,bob,received,@737996a0;@61dc03ce,javax.crypto.SealedObject
1,1,charlie,-,eq_check,charlie,java.lang.String.toString
1,1,charlie,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
1,2,charlie,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,2,charlie,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,2,charlie,-,AnBx_Params,alice;david;charlie;X2;X0,anbxj.AnBx_Params
1,2,charlie,bob,sent,@26653222;@29774679,javax.crypto.SealedObject
1,2,bob,charlie,received,@26653222;@29774679,javax.crypto.SealedObject
1,2,bob,-,inv_check,@4de8b406;@3c756e4d,anbxj.Crypto_SealedPair.toString
1,3,bob,alice,sent,@4de8b406;@3c756e4d,javax.crypto.SealedObject
1,3,alice,bob,received,@4de8b406;@3c756e4d,javax.crypto.SealedObject
1,3,alice,-,eq_check,alice,java.lang.String.toString
1,3,alice,-,eq_check,charlie,java.lang.String.toString
1,3,alice,-,eq_check,david,java.lang.String.toString
1,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,alice,-,AnBx_Params,alice;david;charlie;X2;X0,anbxj.AnBx_Params
1,4,alice,bob,sent,@490ab905;@3f49dace,javax.crypto.SealedObject
1,4,bob,alice,received,@490ab905;@3f49dace,javax.crypto.SealedObject
1,4,bob,-,inv_check,@7ac7a4e4;@6d78f375,anbxj.Crypto_SealedPair.toString
1,5,bob,david,sent,@7ac7a4e4;@6d78f375,javax.crypto.SealedObject
1,5,david,bob,received,@7ac7a4e4;@6d78f375,javax.crypto.SealedObject
1,5,david,-,eq_check,alice,java.lang.String.toString
1,5,david,-,eq_check,david,java.lang.String.toString
1,6,david,-,AnBx_Params,alice;david,anbxj.AnBx_Params
1,6,david,-,AnBx_Params,@1753acfe;X0,anbxj.AnBx_Params
1,6,david,bob,sent,@8bd1b6a;@c038203,javax.crypto.SealedObject
1,6,bob,david,received,@8bd1b6a;@c038203,javax.crypto.SealedObject
1,6,bob,-,inv_check,@215be6bb;@4439f31e,anbxj.Crypto_SealedPair.toString
1,7,bob,alice,sent,@215be6bb;@4439f31e,javax.crypto.SealedObject
1,7,alice,bob,received,@215be6bb;@4439f31e,javax.crypto.SealedObject
1,7,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,7,alice,-,AnBx_Params,alice;david,anbxj.AnBx_Params
1,7,alice,-,eq_check,alice,java.lang.String.toString
1,7,alice,-,eq_check,david,java.lang.String.toString
1,7,alice,-,eq_check,alice;david,anbxj.AnBx_Params.toString
1,8,alice,-,AnBx_Params,@1ed4004b;X0,anbxj.AnBx_Params
1,8,alice,bob,sent,@5025a98f;@6adede5,javax.crypto.SealedObject
1,8,bob,alice,received,@5025a98f;@6adede5,javax.crypto.SealedObject
1,8,bob,-,inv_check,@643b1d11;@2ef5e5e3,anbxj.Crypto_SealedPair.toString
1,9,bob,charlie,sent,@643b1d11;@2ef5e5e3,javax.crypto.SealedObject
1,9,charlie,bob,received,@643b1d11;@2ef5e5e3,javax.crypto.SealedObject
1,9,charlie,-,eq_check,charlie,java.lang.String.toString
1,9,charlie,-,AnBx_Params,@6a41eaa2;X0,anbxj.AnBx_Params
1,9,charlie,-,eq_check,david,java.lang.String.toString
1,9,charlie,-,eq_check,alice,java.lang.String.toString
1,9,charlie,-,eq_check,alice,java.lang.String.toString
1,9,charlie,-,AnBx_Params,@5622fdf;X0,anbxj.AnBx_Params
1,9,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,9,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,10,charlie,bob,sent,@548e7350;@53b32d7,javax.crypto.SealedObject
1,10,bob,charlie,received,@548e7350;@53b32d7,javax.crypto.SealedObject
1,10,bob,-,inv_check,@396a51ab;@51081592,anbxj.Crypto_SealedPair.toString
1,11,bob,alice,sent,@396a51ab;@51081592,javax.crypto.SealedObject
1,11,alice,bob,received,@396a51ab;@51081592,javax.crypto.SealedObject
1,11,alice,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
2,0,alice,-,generateNumber,X3,anbxj.Crypto_ByteArray
2,0,alice,-,AnBx_Params,alice;charlie;X3,anbxj.AnBx_Params
2,0,alice,bob,sent,@4fe3c938;@78c03f1f,javax.crypto.SealedObject
2,0,bob,alice,received,@4fe3c938;@78c03f1f,javax.crypto.SealedObject
2,0,bob,-,inv_check,@58651fd0;@4520ebad,anbxj.Crypto_SealedPair.toString
2,1,bob,charlie,sent,@58651fd0;@4520ebad,javax.crypto.SealedObject
2,1,charlie,bob,received,@58651fd0;@4520ebad,javax.crypto.SealedObject
2,1,charlie,-,eq_check,charlie,java.lang.String.toString
2,1,charlie,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
2,2,charlie,-,generateNumber,X4,anbxj.Crypto_ByteArray
