#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,alice,-,AnBx_Params,alice;charlie;X0,anbxj.AnBx_Params
1,0,alice,bob,sent,@27efef64;@3532ec19,javax.crypto.SealedObject
1,0,bob,alice,received,@27efef64;@3532ec19,javax.crypto.SealedObject
1,0,bob,-,inv_check,@7f560810;@69d9c55,anbxj.Crypto_SealedPair.toString
1,1,bob,charlie,sent,@7f560810;@69d9c55,javax.crypto.SealedObject
1,1,charlie,bob,received,@7f560810;@69d9c55,javax.crypto.SealedObject
1,1,charlie,-,eq_check,charlie,java.lang.String.toString
1,1,charlie,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
1,2,charlie,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,2,charlie,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,2,charlie,-,AnBx_Params,alice;david;charlie;X2;X0,anbxj.AnBx_Params
1,2,charlie,bob,sent,@42d80b78;@66a3ffec,javax.crypto.SealedObject
1,2,bob,charlie,received,@42d80b78;@66a3ffec,javax.crypto.SealedObject
1,2,bob,-,inv_check,@6d78f375;@50c87b21,anbxj.Crypto_SealedPair.toString
1,3,bob,alice,sent,@6d78f375;@50c87b21,javax.crypto.SealedObject
1,3,alice,bob,received,@6d78f375;@50c87b21,javax.crypto.SealedObject
1,3,alice,-,eq_check,alice,java.lang.String.toString
1,3,alice,-,eq_check,charlie,java.lang.String.toString
1,3,alice,-,eq_check,david,java.lang.String.toString
1,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,alice,-,AnBx_Params,alice;david;charlie;X2;X0,anbxj.AnBx_Params
1,4,alice,bob,sent,@6e1567f1;@6e06451e,javax.crypto.SealedObject
1,4,bob,alice,received,@6e1567f1;@6e06451e,javax.crypto.SealedObject
1,4,bob,-,inv_check,@5d5eef3d;@56f4468b,anbxj.Crypto_SealedPair.toString
1,5,bob,david,sent,@5d5eef3d;@56f4468b,javax.crypto.SealedObject
1,5,david,bob,received,@5d5eef3d;@56f4468b,javax.crypto.SealedObject
1,5,david,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
1,5,david,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,5,david,-,eq_check,alice,java.lang.String.toString
1,5,david,-,eq_check,david,java.lang.String.toString
1,6,david,-,AnBx_Params,alice;david,anbxj.AnBx_Params
1,6,david,-,AnBx_Params,@7823a2f9;X0,anbxj.AnBx_Params
1,6,david,bob,sent,@d8355a8;@224edc67,javax.crypto.SealedObject
1,6,bob,david,received,@d8355a8;@224edc67,javax.crypto.SealedObject
1,6,bob,-,inv_check,@2ef5e5e3;@36d4b5c,anbxj.Crypto_SealedPair.toString
1,7,bob,alice,sent,@2ef5e5e3;@36d4b5c,javax.crypto.SealedObject
1,7,alice,bob,received,@2ef5e5e3;@36d4b5c,javax.crypto.SealedObject
1,7,alice,-,AnBx_Params,@3159c4b8;X0,anbxj.AnBx_Params
1,7,alice,-,inv_check,@3159c4b8,java.security.SignedObject.toString
1,7,alice,-,AnBx_Params,@55d56113;X0,anbxj.AnBx_Params
1,7,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,7,alice,-,AnBx_Params,alice;david,anbxj.AnBx_Params
1,7,alice,-,eq_check,alice,java.lang.String.toString
1,7,alice,-,eq_check,david,java.lang.String.toString
1,7,alice,-,eq_check,alice;david,anbxj.AnBx_Params.toString
1,8,alice,-,AnBx_Params,@3159c4b8;X0,anbxj.AnBx_Params
1,8,alice,bob,sent,@31610302;@31dc339b,javax.crypto.SealedObject
1,8,bob,alice,received,@31610302;@31dc339b,javax.crypto.SealedObject
1,8,bob,-,inv_check,@62ee68d8;@735b5592,anbxj.Crypto_SealedPair.toString
1,9,bob,charlie,sent,@62ee68d8;@735b5592,javax.crypto.SealedObject
1,9,charlie,bob,received,@62ee68d8;@735b5592,javax.crypto.SealedObject
1,9,charlie,-,inv_check,alice,java.lang.String.toString
1,9,charlie,-,inv_check,@343f4d3d,java.security.SignedObject.toString
1,9,charlie,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,9,charlie,-,eq_check,charlie,java.lang.String.toString
1,9,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,9,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,9,charlie,-,AnBx_Params,alice;david,anbxj.AnBx_Params
1,9,charlie,-,eq_check,alice,java.lang.String.toString
1,9,charlie,-,eq_check,david,java.lang.String.toString
1,9,charlie,-,eq_check,alice;david,anbxj.AnBx_Params.toString
1,10,charlie,bob,sent,@553f17c;@14bf9759,javax.crypto.SealedObject
1,10,bob,charlie,received,@553f17c;@14bf9759,javax.crypto.SealedObject
1,10,bob,-,inv_check,@d2cc05a;@4f933fd1,anbxj.Crypto_SealedPair.toString
1,11,bob,alice,sent,@d2cc05a;@4f933fd1,javax.crypto.SealedObject
1,11,alice,bob,received,@d2cc05a;@4f933fd1,javax.crypto.SealedObject
1,11,alice,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
2,0,alice,-,generateNumber,X3,anbxj.Crypto_ByteArray
2,0,alice,-,AnBx_Params,alice;charlie;X3,anbxj.AnBx_Params
2,0,alice,bob,sent,@3108bc;@4e9ba398,javax.crypto.SealedObject
2,0,bob,alice,received,@3108bc;@4e9ba398,javax.crypto.SealedObject
