#A:alice B:bob 
#auth:NB2,['A', 'B']
#NB2:[[1, 'X2'], [2, 'X7'], [3, 'X12'], [4, 'X17'], [5, 'X22'], [6, 'X27'], [7, 'X32'], [8, 'X37'], [9, 'X42'], [10, 'X47']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
19:18:58:465,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
19:18:58:488,1,0,alice,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
19:18:58:562,1,0,alice,-,AnBx_Params,alice;X1;X0,anbxj.AnBx_Params
19:18:58:568,1,0,alice,bob,sent,alice;X1;X0,javax.crypto.SealedObject
19:18:58:650,1,0,bob,alice,received,alice;X1;X0,javax.crypto.SealedObject
19:18:58:657,1,0,bob,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
19:18:58:658,1,0,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
19:18:58:666,1,0,bob,-,eq_check,alice,java.lang.String.toString
19:18:58:679,1,1,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
19:18:58:700,1,1,bob,-,generateNumber,X3,anbxj.Crypto_ByteArray
19:18:58:716,1,1,bob,-,AnBx_Params,X4;X3,anbxj.AnBx_Params
19:18:58:772,1,1,bob,alice,sent,X4;X3,javax.crypto.SealedObject
19:18:58:815,1,1,alice,bob,received,X4;X3,javax.crypto.SealedObject
19:18:58:829,1,1,alice,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
19:18:58:840,1,2,alice,bob,sent,@593aaf41,javax.crypto.SealedObject
19:18:58:885,1,2,bob,alice,received,@593aaf41,javax.crypto.SealedObject
19:18:58:888,1,2,bob,-,eq_check,X5,anbxj.Crypto_ByteArray.toString
19:18:58:891,1,3,bob,alice,sent,@2805d709,javax.crypto.SealedObject
19:18:58:935,1,3,alice,bob,received,@2805d709,javax.crypto.SealedObject
19:18:58:936,1,3,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
19:18:58:955,1,3,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
19:18:58:955,2,0,alice,-,generateNumber,X6,anbxj.Crypto_ByteArray
19:18:58:967,2,0,alice,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
19:18:58:971,2,0,alice,-,AnBx_Params,alice;X1;X6,anbxj.AnBx_Params
19:18:58:972,2,0,alice,bob,sent,alice;X1;X6,javax.crypto.SealedObject
19:18:59:015,2,0,bob,alice,received,alice;X1;X6,javax.crypto.SealedObject
19:18:59:019,2,0,bob,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
19:18:59:019,2,0,bob,-,inv_check,X6,anbxj.Crypto_ByteArray.toString
19:18:59:019,2,0,bob,-,eq_check,alice,java.lang.String.toString
19:18:59:020,2,1,bob,-,generateNumber,X7,anbxj.Crypto_ByteArray
19:18:59:032,2,1,bob,-,generateNumber,X8,anbxj.Crypto_ByteArray
19:18:59:045,2,1,bob,-,AnBx_Params,X9;X8,anbxj.AnBx_Params
19:18:59:050,2,1,bob,alice,sent,X9;X8,javax.crypto.SealedObject
19:18:59:097,2,1,alice,bob,received,X9;X8,javax.crypto.SealedObject
19:18:59:101,2,1,alice,-,eq_check,X9,anbxj.Crypto_ByteArray.toString
19:18:59:102,2,2,alice,bob,sent,@53aac487,javax.crypto.SealedObject
19:18:59:147,2,2,bob,alice,received,@53aac487,javax.crypto.SealedObject
19:18:59:148,2,2,bob,-,eq_check,X10,anbxj.Crypto_ByteArray.toString
19:18:59:149,2,3,bob,alice,sent,@47e2e487,javax.crypto.SealedObject
19:18:59:191,2,3,alice,bob,received,@47e2e487,javax.crypto.SealedObject
19:18:59:191,2,3,alice,-,inv_check,X8,anbxj.Crypto_ByteArray.toString
19:18:59:192,2,3,alice,-,inv_check,X7,anbxj.Crypto_ByteArray.toString
19:18:59:192,3,0,alice,-,generateNumber,X11,anbxj.Crypto_ByteArray
19:18:59:206,3,0,alice,-,AnBx_Params,X1;X11,anbxj.AnBx_Params
19:18:59:210,3,0,alice,-,AnBx_Params,alice;X1;X11,anbxj.AnBx_Params
19:18:59:211,3,0,alice,bob,sent,alice;X1;X11,javax.crypto.SealedObject
19:18:59:257,3,0,bob,alice,received,alice;X1;X11,javax.crypto.SealedObject
19:18:59:261,3,0,bob,-,AnBx_Params,X1;X11,anbxj.AnBx_Params
19:18:59:261,3,0,bob,-,inv_check,X11,anbxj.Crypto_ByteArray.toString
19:18:59:261,3,0,bob,-,eq_check,alice,java.lang.String.toString
19:18:59:262,3,1,bob,-,generateNumber,X12,anbxj.Crypto_ByteArray
19:18:59:273,3,1,bob,-,generateNumber,X13,anbxj.Crypto_ByteArray
19:18:59:287,3,1,bob,-,AnBx_Params,X14;X13,anbxj.AnBx_Params
19:18:59:293,3,1,bob,alice,sent,X14;X13,javax.crypto.SealedObject
19:18:59:336,3,1,alice,bob,received,X14;X13,javax.crypto.SealedObject
19:18:59:340,3,1,alice,-,eq_check,X14,anbxj.Crypto_ByteArray.toString
19:18:59:342,3,2,alice,bob,sent,@1c7696c6,javax.crypto.SealedObject
19:18:59:385,3,2,bob,alice,received,@1c7696c6,javax.crypto.SealedObject
19:18:59:386,3,2,bob,-,eq_check,X15,anbxj.Crypto_ByteArray.toString
19:18:59:387,3,3,bob,alice,sent,@73e9cf30,javax.crypto.SealedObject
19:18:59:433,3,3,alice,bob,received,@73e9cf30,javax.crypto.SealedObject
19:18:59:434,3,3,alice,-,inv_check,X13,anbxj.Crypto_ByteArray.toString
19:18:59:436,3,3,alice,-,inv_check,X12,anbxj.Crypto_ByteArray.toString
19:18:59:437,4,0,alice,-,generateNumber,X16,anbxj.Crypto_ByteArray
19:18:59:451,4,0,alice,-,AnBx_Params,X1;X16,anbxj.AnBx_Params
19:18:59:457,4,0,alice,-,AnBx_Params,alice;X1;X16,anbxj.AnBx_Params
19:18:59:459,4,0,alice,bob,sent,alice;X1;X16,javax.crypto.SealedObject
19:18:59:502,4,0,bob,alice,received,alice;X1;X16,javax.crypto.SealedObject
19:18:59:506,4,0,bob,-,AnBx_Params,X1;X16,anbxj.AnBx_Params
19:18:59:507,4,0,bob,-,inv_check,X16,anbxj.Crypto_ByteArray.toString
19:18:59:507,4,0,bob,-,eq_check,alice,java.lang.String.toString
