#A:alice I:bob B:charlie 
#auth:NB2,['A', 'B']
#NB2:[[1, 'X2'], [2, 'X7'], [3, 'X12'], [4, 'X17'], [5, 'X22'], [6, 'X27'], [7, 'X32'], [8, 'X37'], [9, 'X42'], [10, 'X47']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
11:32:46:293,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
11:32:46:293,1,0,alice,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
11:32:46:293,1,0,alice,-,AnBx_Params,alice;X1;X0,anbxj.AnBx_Params
11:32:46:293,1,0,alice,bob,sent,alice;X1;X0,javax.crypto.SealedObject
11:32:46:289,1,0,bob,alice,received,alice;X1;X0,javax.crypto.SealedObject
11:32:46:289,1,0,bob,-,eq_check,alice,java.lang.String.toString
11:32:46:289,1,1,bob,-,AnBx_Params,alice;@48eff760,anbxj.AnBx_Params
11:32:46:289,1,1,bob,charlie,sent,alice;@48eff760,javax.crypto.SealedObject
11:32:46:275,1,1,charlie,bob,received,alice;@48eff760,javax.crypto.SealedObject
11:32:46:275,1,1,charlie,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
11:32:46:275,1,1,charlie,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
11:32:46:275,1,1,charlie,-,eq_check,alice,java.lang.String.toString
11:32:46:275,1,2,charlie,-,generateNumber,X2,anbxj.Crypto_ByteArray
11:32:46:275,1,2,charlie,-,generateNumber,X3,anbxj.Crypto_ByteArray
11:32:46:275,1,2,charlie,-,AnBx_Params,X4;X3,anbxj.AnBx_Params
11:32:46:275,1,2,charlie,bob,sent,X4;X3,javax.crypto.SealedObject
11:32:46:289,1,2,bob,charlie,received,X4;X3,javax.crypto.SealedObject
11:32:46:289,1,2,bob,-,inv_check,@2b98378d,javax.crypto.SealedObject.toString
11:32:46:289,1,2,bob,-,inv_check,@48eff760,javax.crypto.SealedObject.toString
11:32:46:289,1,3,bob,alice,sent,@2b98378d,javax.crypto.SealedObject
11:32:46:293,1,3,alice,bob,received,@2b98378d,javax.crypto.SealedObject
11:32:46:293,1,3,alice,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
11:32:46:293,1,4,alice,bob,sent,@271053e1,javax.crypto.SealedObject
11:32:46:289,1,4,bob,alice,received,@271053e1,javax.crypto.SealedObject
11:32:46:289,1,4,bob,-,inv_check,@1e88b3c,javax.crypto.SealedObject.toString
11:32:46:289,1,5,bob,charlie,sent,@1e88b3c,javax.crypto.SealedObject
11:32:46:275,1,5,charlie,bob,received,@1e88b3c,javax.crypto.SealedObject
11:32:46:275,1,5,charlie,-,eq_check,X5,anbxj.Crypto_ByteArray.toString
11:32:46:275,1,6,charlie,bob,sent,@39c0f4a,javax.crypto.SealedObject
11:32:46:289,1,6,bob,charlie,received,@39c0f4a,javax.crypto.SealedObject
11:32:46:289,1,6,bob,-,inv_check,@1bce4f0a,javax.crypto.SealedObject.toString
11:32:46:289,1,7,bob,alice,sent,@1bce4f0a,javax.crypto.SealedObject
11:32:46:293,1,7,alice,bob,received,@1bce4f0a,javax.crypto.SealedObject
11:32:46:293,1,7,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
11:32:46:293,1,7,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
11:32:46:293,2,0,alice,-,generateNumber,X6,anbxj.Crypto_ByteArray
11:32:46:293,2,0,alice,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
11:32:46:293,2,0,alice,-,AnBx_Params,alice;X1;X6,anbxj.AnBx_Params
11:32:46:293,2,0,alice,bob,sent,alice;X1;X6,javax.crypto.SealedObject
11:32:46:289,2,0,bob,alice,received,alice;X1;X6,javax.crypto.SealedObject
11:32:46:289,2,0,bob,-,eq_check,alice,java.lang.String.toString
11:32:46:289,2,1,bob,-,AnBx_Params,alice;@91161c7,anbxj.AnBx_Params
11:32:46:289,2,1,bob,charlie,sent,alice;@91161c7,javax.crypto.SealedObject
11:32:46:275,2,1,charlie,bob,received,alice;@91161c7,javax.crypto.SealedObject
11:32:46:275,2,1,charlie,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
11:32:46:275,2,1,charlie,-,inv_check,X6,anbxj.Crypto_ByteArray.toString
11:32:46:275,2,1,charlie,-,eq_check,alice,java.lang.String.toString
11:32:46:275,2,2,charlie,-,generateNumber,X7,anbxj.Crypto_ByteArray
11:32:46:275,2,2,charlie,-,generateNumber,X8,anbxj.Crypto_ByteArray
11:32:46:275,2,2,charlie,-,AnBx_Params,X9;X8,anbxj.AnBx_Params
11:32:46:275,2,2,charlie,bob,sent,X9;X8,javax.crypto.SealedObject
11:32:46:289,2,2,bob,charlie,received,X9;X8,javax.crypto.SealedObject
11:32:46:289,2,2,bob,-,inv_check,@7cd62f43,javax.crypto.SealedObject.toString
11:32:46:289,2,2,bob,-,inv_check,@91161c7,javax.crypto.SealedObject.toString
11:32:46:289,2,3,bob,alice,sent,@7cd62f43,javax.crypto.SealedObject
11:32:46:293,2,3,alice,bob,received,@7cd62f43,javax.crypto.SealedObject
11:32:46:293,2,3,alice,-,eq_check,X9,anbxj.Crypto_ByteArray.toString
11:32:46:293,2,4,alice,bob,sent,@5649fd9b,javax.crypto.SealedObject
11:32:46:289,2,4,bob,alice,received,@5649fd9b,javax.crypto.SealedObject
11:32:46:289,2,4,bob,-,inv_check,@5622fdf,javax.crypto.SealedObject.toString
11:32:46:289,2,5,bob,charlie,sent,@5622fdf,javax.crypto.SealedObject
11:32:46:275,2,5,charlie,bob,received,@5622fdf,javax.crypto.SealedObject
11:32:46:275,2,5,charlie,-,eq_check,X10,anbxj.Crypto_ByteArray.toString
11:32:46:275,2,6,charlie,bob,sent,@57fffcd7,javax.crypto.SealedObject
