#A:alice B:bob intr:charlie 
#auth:NB2,['A', 'B']
#NB2:[[1, 'X2'], [2, 'X7'], [3, 'X12'], [4, 'X17'], [5, 'X21'], [6, 'X26'], [7, 'X30'], [8, 'X34'], [9, 'X39'], [10, 'X44']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
,1,0,alice,-,eq_check,alice!,java.lang.String.toString
,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
,1,0,alice,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
,1,0,alice,-,AnBx_Params,alice;X1;X0,anbxj.AnBx_Params
,1,0,alice,charlie,sent,alice;X1;X0,javax.crypto.SealedObject
,1,0,charlie,-,eq_check,charlie!,java.lang.String.toString
,1,0,charlie,-,eq_check,charlie!,java.lang.String.toString
,1,0,charlie,alice,received,charlie!,javax.crypto.SealedObject
,1,0,charlie,-,eq_check,alice,java.lang.String.toString
,1,1,charlie,-,AnBx_Params,alice;@573f2bb1,anbxj.AnBx_Params
,1,1,charlie,bob,sent,alice;@573f2bb1,javax.crypto.SealedObject
,1,1,bob,charlie,received,alice;@573f2bb1,javax.crypto.SealedObject
,1,1,bob,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
,1,1,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
,1,1,bob,-,eq_check,alice,java.lang.String.toString
,1,2,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
,1,2,bob,-,generateNumber,X3,anbxj.Crypto_ByteArray
,1,2,bob,-,AnBx_Params,X4;X3,anbxj.AnBx_Params
,1,2,bob,charlie,sent,X4;X3,javax.crypto.SealedObject
,1,2,charlie,bob,received,X4;X3,javax.crypto.SealedObject
,1,2,charlie,-,inv_check,@5034c75a,javax.crypto.SealedObject.toString
,1,2,charlie,-,inv_check,@573f2bb1,javax.crypto.SealedObject.toString
,1,3,charlie,alice,sent,@5034c75a,javax.crypto.SealedObject
,1,3,alice,charlie,received,@5034c75a,javax.crypto.SealedObject
,1,3,alice,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
,1,4,alice,charlie,sent,@91161c7,javax.crypto.SealedObject
,1,4,charlie,alice,received,@91161c7,javax.crypto.SealedObject
,1,4,charlie,-,inv_check,@2a2d45ba,javax.crypto.SealedObject.toString
,1,5,charlie,bob,sent,@2a2d45ba,javax.crypto.SealedObject
,1,5,bob,charlie,received,@2a2d45ba,javax.crypto.SealedObject
,1,5,bob,-,eq_check,X5,anbxj.Crypto_ByteArray.toString
,1,6,bob,charlie,sent,@29ee9faa,javax.crypto.SealedObject
,1,6,charlie,bob,received,@29ee9faa,javax.crypto.SealedObject
,1,6,charlie,-,inv_check,@68be2bc2,javax.crypto.SealedObject.toString
,1,7,charlie,alice,sent,@68be2bc2,javax.crypto.SealedObject
,1,7,alice,charlie,received,@68be2bc2,javax.crypto.SealedObject
,1,7,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
,1,7,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
,2,0,alice,-,eq_check,alice!,java.lang.String.toString
,2,0,alice,-,generateNumber,X6,anbxj.Crypto_ByteArray
