#A:alice B:bob 
#secret:Msg,['A', 'B']
#Msg:[[1, 'X1']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
,1,0,alice,bob,sent,alice,string
,1,0,bob,alice,received,alice,string
,1,0,bob,-,eq_check,alice,java.lang.String.toString
,1,1,bob,-,generateNumber,X0,anbxj.Crypto_ByteArray
,1,1,bob,-,AnBx_Params,X0;bob,anbxj.AnBx_Params
,1,1,bob,alice,sent,X0;bob,javax.crypto.SealedObject
,1,1,alice,bob,received,X0;bob,javax.crypto.SealedObject
,1,1,alice,-,eq_check,bob,java.lang.String.toString
,1,2,alice,-,generateNumber,X1,anbxj.Crypto_ByteArray
,1,2,alice,-,AnBx_Params,X0;bob;X1,anbxj.AnBx_Params
,1,2,alice,bob,sent,X0;bob;X1,javax.crypto.SealedObject
,1,2,bob,alice,received,X0;bob;X1,javax.crypto.SealedObject
,1,2,bob,-,eq_check,bob,java.lang.String.toString
,1,2,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
