#A:alice I:bob B:charlie 
#secret:Msg,['A', 'B']
#Msg:[[1, 'X1']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
19:12:46:686,1,0,alice,bob,sent,alice,string
19:12:46:730,1,0,bob,alice,received,alice,string
19:12:46:731,1,0,bob,-,eq_check,alice,java.lang.String.toString
19:12:46:745,1,1,bob,charlie,sent,alice,string
19:12:46:788,1,1,charlie,bob,received,alice,string
19:12:46:791,1,1,charlie,-,eq_check,alice,java.lang.String.toString
19:12:46:802,1,2,charlie,-,generateNumber,X0,anbxj.Crypto_ByteArray
19:12:46:826,1,2,charlie,-,AnBx_Params,X0;charlie,anbxj.AnBx_Params
19:12:46:917,1,2,charlie,bob,sent,X0;charlie,javax.crypto.SealedObject
19:12:46:961,1,2,bob,charlie,received,X0;charlie,javax.crypto.SealedObject
19:12:46:962,1,2,bob,-,inv_check,@548a9f61;@1753acfe,anbxj.Crypto_SealedPair.toString
19:12:46:969,1,3,bob,alice,sent,@548a9f61;@1753acfe,javax.crypto.SealedObject
19:12:47:014,1,3,alice,bob,received,@548a9f61;@1753acfe,javax.crypto.SealedObject
19:12:47:062,1,3,alice,-,eq_check,charlie,java.lang.String.toString
19:12:47:074,1,4,alice,-,generateNumber,X1,anbxj.Crypto_ByteArray
19:12:47:103,1,4,alice,-,AnBx_Params,X0;charlie;X1,anbxj.AnBx_Params
19:12:47:210,1,4,alice,bob,sent,X0;charlie;X1,javax.crypto.SealedObject
19:12:47:256,1,4,bob,alice,received,X0;charlie;X1,javax.crypto.SealedObject
19:12:47:256,1,4,bob,-,inv_check,@29774679;@3ffc5af1,anbxj.Crypto_SealedPair.toString
19:12:47:258,1,5,bob,charlie,sent,@29774679;@3ffc5af1,javax.crypto.SealedObject
19:12:47:301,1,5,charlie,bob,received,@29774679;@3ffc5af1,javax.crypto.SealedObject
19:12:47:362,1,5,charlie,-,eq_check,charlie,java.lang.String.toString
19:12:47:362,1,5,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
