#H:alice B:bob M:charlie 
#secret:Msg,['B', 'M']
#Msg:[[1, 'X3']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
18:45:30:154,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
18:45:30:154,1,0,alice,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
18:45:30:154,1,0,alice,-,AnBx_Params,X0;X2;X0;X1,anbxj.AnBx_Params
18:45:30:154,1,0,alice,bob,sent,X0;X2;X0;X1,string
18:45:30:142,1,0,bob,alice,received,X0;X2;X0;X1,string
18:45:30:142,1,0,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
18:45:30:142,1,1,bob,charlie,sent,X0,string
18:45:30:152,1,1,charlie,bob,received,X0,string
18:45:30:152,1,1,charlie,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
18:45:30:152,1,2,charlie,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
18:45:30:152,1,2,charlie,bob,sent,X2,string
18:45:30:142,1,2,bob,charlie,received,X2,string
18:45:30:142,1,2,bob,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
18:45:30:142,1,3,bob,-,generateNumber,X3,anbxj.Crypto_ByteArray
18:45:30:142,1,3,bob,charlie,sent,@77cd7a0,javax.crypto.SealedObject
18:45:30:152,1,3,charlie,bob,received,@77cd7a0,javax.crypto.SealedObject
18:45:30:152,1,3,charlie,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
