#I:alice B:bob H:charlie M:david 
#secret:Msg,['B']
#Msg:[[1, 'X3']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
21:33:51:004,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
21:33:51:004,1,0,alice,-,generateNumber,X1,anbxj.Crypto_ByteArray
21:33:51:004,1,0,alice,-,AnBx_Params,X0;X2;@17d0b,anbxj.AnBx_Params
21:33:51:004,1,0,alice,bob,sent,X0;X2;@17d0b,string
21:33:51:011,1,0,bob,alice,received,X0;X2;@17d0b,string
21:33:51:011,1,0,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
21:33:51:011,1,1,bob,alice,sent,X0,string
21:33:51:004,1,1,alice,bob,received,X0,string
21:33:51:004,1,1,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
21:33:51:004,1,2,alice,bob,sent,X2,string
21:33:51:011,1,2,bob,alice,received,X2,string
21:33:51:011,1,2,bob,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
21:33:51:011,1,3,bob,-,generateNumber,X3,anbxj.Crypto_ByteArray
21:33:51:011,1,3,bob,alice,sent,@5c3bd550,javax.crypto.SealedObject
21:33:51:004,1,3,alice,bob,received,@5c3bd550,javax.crypto.SealedObject
21:33:51:004,1,3,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
