#H:alice I:bob B:charlie M:david 
#secret:Msg,['B', 'M']
#Msg:[[1, 'X3']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
21:40:05:720,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
21:40:05:720,1,0,alice,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
21:40:05:720,1,0,alice,-,AnBx_Params,X0;X2;X0;X1,anbxj.AnBx_Params
21:40:05:720,1,0,alice,bob,sent,X0;X2;X0;X1,string
21:40:05:689,1,0,bob,alice,received,X0;X2;X0;X1,string
21:40:05:689,1,0,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
21:40:05:689,1,1,bob,-,AnBx_Params,X0;X2;@fffe984c,anbxj.AnBx_Params
21:40:05:689,1,1,bob,charlie,sent,X0;X2;@fffe984c,string
21:40:05:709,1,1,charlie,bob,received,X0;X2;@fffe984c,string
21:40:05:709,1,1,charlie,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
21:40:05:709,1,2,charlie,bob,sent,X0,string
21:40:05:689,1,2,bob,charlie,received,X0,string
21:40:05:689,1,2,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
21:40:05:689,1,3,bob,david,sent,X0,string
21:40:05:715,1,3,david,bob,received,X0,string
21:40:05:715,1,3,david,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
21:40:05:715,1,4,david,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
21:40:05:715,1,4,david,bob,sent,X2,string
21:40:05:689,1,4,bob,david,received,X2,string
21:40:05:689,1,4,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
21:40:05:689,1,4,bob,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
21:40:05:689,1,5,bob,charlie,sent,X2,string
21:40:05:709,1,5,charlie,bob,received,X2,string
21:40:05:709,1,5,charlie,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
21:40:05:709,1,6,charlie,-,generateNumber,X3,anbxj.Crypto_ByteArray
21:40:05:709,1,6,charlie,bob,sent,@ae45eb6,javax.crypto.SealedObject
21:40:05:689,1,6,bob,charlie,received,@ae45eb6,javax.crypto.SealedObject
21:40:05:689,1,6,bob,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
21:40:05:689,1,6,bob,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
21:40:05:689,1,7,bob,david,sent,@57baeedf,javax.crypto.SealedObject
21:40:05:715,1,7,david,bob,received,@57baeedf,javax.crypto.SealedObject
21:40:05:715,1,7,david,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
