#A:alice B:bob 
#secret:NxNA,['A', 'B']
#NxNA:[[1, 'X0']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
21:44:15:956,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
21:44:15:956,1,0,alice,-,AnBx_Params,X0;alice,anbxj.AnBx_Params
21:44:15:956,1,0,alice,bob,sent,X0;alice,javax.crypto.SealedObject
21:44:15:958,1,0,bob,alice,received,X0;alice,javax.crypto.SealedObject
21:44:15:958,1,0,bob,-,inv_check,alice,java.lang.String.toString
21:44:15:958,1,1,bob,-,generateNumber,X1,anbxj.Crypto_ByteArray
21:44:15:958,1,1,bob,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
21:44:15:958,1,1,bob,alice,sent,X0;X1,javax.crypto.SealedObject
21:44:15:956,1,1,alice,bob,received,X0;X1,javax.crypto.SealedObject
21:44:15:956,1,1,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
21:44:15:956,1,2,alice,bob,sent,@5cb9f472;@59494225,javax.crypto.SealedObject
21:44:15:958,1,2,bob,alice,received,@5cb9f472;@59494225,javax.crypto.SealedObject
21:44:15:958,1,2,bob,-,eq_check,X1,anbxj.Crypto_ByteArray.toString
