#A:alice I:bob B:charlie 
#secret:NxNA,['A', 'B']
#NxNA:[[1, 'X0']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
21:54:48:402,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
21:54:48:402,1,0,alice,-,AnBx_Params,X0;alice,anbxj.AnBx_Params
21:54:48:402,1,0,alice,bob,sent,X0;alice,javax.crypto.SealedObject
21:54:48:424,1,0,bob,alice,received,X0;alice,javax.crypto.SealedObject
21:54:48:424,1,0,bob,-,AnBx_Params,X0;alice,anbxj.AnBx_Params
21:54:48:424,1,0,bob,-,inv_check,alice,java.lang.String.toString
21:54:48:424,1,1,bob,-,AnBx_Params,X0;alice,anbxj.AnBx_Params
21:54:48:424,1,1,bob,-,AnBx_Params,X0;alice,anbxj.AnBx_Params
21:54:48:424,1,1,bob,charlie,sent,X0;alice,javax.crypto.SealedObject
21:54:48:381,1,1,charlie,bob,received,X0;alice,javax.crypto.SealedObject
21:54:48:381,1,1,charlie,-,inv_check,alice,java.lang.String.toString
21:54:48:381,1,2,charlie,-,generateNumber,X1,anbxj.Crypto_ByteArray
21:54:48:381,1,2,charlie,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
21:54:48:381,1,2,charlie,bob,sent,X0;X1,javax.crypto.SealedObject
21:54:48:424,1,2,bob,charlie,received,X0;X1,javax.crypto.SealedObject
21:54:48:424,1,2,bob,-,inv_check,@5622fdf;@4883b407,anbxj.Crypto_SealedPair.toString
21:54:48:424,1,3,bob,alice,sent,@5622fdf;@4883b407,javax.crypto.SealedObject
21:54:48:402,1,3,alice,bob,received,@5622fdf;@4883b407,javax.crypto.SealedObject
21:54:48:402,1,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
21:54:48:402,1,4,alice,bob,sent,@4566e5bd;@13805618,javax.crypto.SealedObject
21:54:48:424,1,4,bob,alice,received,@4566e5bd;@13805618,javax.crypto.SealedObject
21:54:48:424,1,4,bob,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
21:54:48:424,1,5,bob,charlie,sent,@754ba872;@204f30ec,javax.crypto.SealedObject
21:54:48:381,1,5,charlie,bob,received,@754ba872;@204f30ec,javax.crypto.SealedObject
21:54:48:381,1,5,charlie,-,eq_check,X1,anbxj.Crypto_ByteArray.toString
