#A:alice I:bob B:charlie 
#secret:NxNA,['A', 'B']
#NxNA:[[1, 'X0']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
21:49:47:219,1,0,alice,-,generateNumber,X0,anbxj.Crypto_ByteArray
21:49:47:219,1,0,alice,-,AnBx_Params,X0;alice,anbxj.AnBx_Params
21:49:47:219,1,0,alice,bob,sent,X0;alice,javax.crypto.SealedObject
21:49:47:253,1,0,bob,alice,received,X0;alice,javax.crypto.SealedObject
21:49:47:253,1,0,bob,-,inv_check,@5f375618;@1810399e,anbxj.Crypto_SealedPair.toString
21:49:47:253,1,1,bob,charlie,sent,@5f375618;@1810399e,javax.crypto.SealedObject
21:49:47:206,1,1,charlie,bob,received,@5f375618;@1810399e,javax.crypto.SealedObject
21:49:47:206,1,1,charlie,-,inv_check,alice,java.lang.String.toString
21:49:47:206,1,2,charlie,-,generateNumber,X1,anbxj.Crypto_ByteArray
21:49:47:206,1,2,charlie,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
21:49:47:206,1,2,charlie,bob,sent,X0;X1,javax.crypto.SealedObject
21:49:47:253,1,2,bob,charlie,received,X0;X1,javax.crypto.SealedObject
21:49:47:253,1,2,bob,-,inv_check,@cc285f4;@55f3ddb1,anbxj.Crypto_SealedPair.toString
21:49:47:253,1,3,bob,alice,sent,@cc285f4;@55f3ddb1,javax.crypto.SealedObject
21:49:47:219,1,3,alice,bob,received,@cc285f4;@55f3ddb1,javax.crypto.SealedObject
21:49:47:219,1,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
21:49:47:219,1,4,alice,bob,sent,@5702b3b1;@ff5b51f,javax.crypto.SealedObject
21:49:47:253,1,4,bob,alice,received,@5702b3b1;@ff5b51f,javax.crypto.SealedObject
21:49:47:253,1,4,bob,-,inv_check,@26be92ad;@4c70fda8,anbxj.Crypto_SealedPair.toString
21:49:47:253,1,5,bob,charlie,sent,@26be92ad;@4c70fda8,javax.crypto.SealedObject
21:49:47:206,1,5,charlie,bob,received,@26be92ad;@4c70fda8,javax.crypto.SealedObject
21:49:47:206,1,5,charlie,-,eq_check,X1,anbxj.Crypto_ByteArray.toString
