#A:alice B:bob s:charlie 
#auth:NB,['B', 'A']
#NB:[[1, 'X0']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
22:14:43:836,1,0,alice,bob,sent,alice,string
22:14:43:837,1,0,bob,alice,received,alice,string
22:14:43:837,1,0,bob,-,eq_check,alice,java.lang.String.toString
22:14:43:837,1,1,bob,-,generateNumber,X0,anbxj.Crypto_ByteArray
22:14:43:837,1,1,bob,alice,sent,X0,string
22:14:43:836,1,1,alice,bob,received,X0,string
22:14:43:836,1,1,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
22:14:43:836,1,2,alice,-,AnBx_Params,alice;bob;X0,anbxj.AnBx_Params
22:14:43:836,1,2,alice,bob,sent,alice;bob;X0,javax.crypto.SealedObject
22:14:43:837,1,2,bob,alice,received,alice;bob;X0,javax.crypto.SealedObject
22:14:43:837,1,2,bob,-,inv_check,@59f99ea,javax.crypto.SealedObject.toString
22:14:43:837,1,3,bob,-,AnBx_Params,alice;bob;@59f99ea,anbxj.AnBx_Params
22:14:43:837,1,3,bob,charlie,sent,alice;bob;@59f99ea,javax.crypto.SealedObject
22:14:43:837,1,3,charlie,bob,received,alice;bob;@59f99ea,javax.crypto.SealedObject
22:14:43:837,1,3,charlie,-,eq_check,alice,java.lang.String.toString
22:14:43:837,1,3,charlie,-,eq_check,alice,java.lang.String.toString
22:14:43:837,1,3,charlie,-,eq_check,bob,java.lang.String.toString
22:14:43:837,1,3,charlie,-,eq_check,bob,java.lang.String.toString
22:14:43:837,1,4,charlie,-,AnBx_Params,alice;bob;X0,anbxj.AnBx_Params
22:14:43:837,1,4,charlie,bob,sent,alice;bob;X0,javax.crypto.SealedObject
22:14:43:837,1,4,bob,charlie,received,alice;bob;X0,javax.crypto.SealedObject
22:14:43:837,1,4,bob,-,eq_check,alice,java.lang.String.toString
22:14:43:837,1,4,bob,-,eq_check,bob,java.lang.String.toString
22:14:43:837,1,4,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
