#I:alice B:bob A:charlie s:david 
#auth:NB,['B', 'I']
#NB:[[1, 'X0']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
22:18:16:331,1,0,alice,bob,sent,alice,string
22:18:16:348,1,0,bob,alice,received,alice,string
22:18:16:348,1,0,bob,-,eq_check,alice,java.lang.String.toString
22:18:16:348,1,1,bob,-,generateNumber,X0,anbxj.Crypto_ByteArray
22:18:16:348,1,1,bob,alice,sent,X0,string
22:18:16:331,1,1,alice,bob,received,X0,string
22:18:16:331,1,1,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
22:18:16:331,1,2,alice,bob,sent,X0,string
22:18:16:348,1,2,bob,alice,received,X0,string
22:18:16:348,1,2,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
22:18:16:348,1,3,bob,-,AnBx_Params,alice;bob;X0,anbxj.AnBx_Params
22:18:16:348,1,3,bob,alice,sent,alice;bob;X0,javax.crypto.SealedObject
22:18:16:331,1,3,alice,bob,received,alice;bob;X0,javax.crypto.SealedObject
22:18:16:331,1,3,alice,-,inv_check,@cc285f4,javax.crypto.SealedObject.toString
22:18:16:331,1,4,alice,bob,sent,@cc285f4,javax.crypto.SealedObject
22:18:16:348,1,4,bob,alice,received,@cc285f4,javax.crypto.SealedObject
22:18:16:348,1,4,bob,-,eq_check,bob,java.lang.String.toString
22:18:16:348,1,4,bob,-,eq_check,alice,java.lang.String.toString
22:18:16:348,1,4,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
