#A:alice I:bob B:charlie s:david 
#auth:NB,['B', 'A']
#NB:[[1, 'X0']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
22:26:42:789,1,0,alice,bob,sent,alice,string
22:26:42:764,1,0,bob,alice,received,alice,string
22:26:42:764,1,0,bob,-,eq_check,alice,java.lang.String.toString
22:26:42:764,1,1,bob,charlie,sent,alice,string
22:26:42:813,1,1,charlie,bob,received,alice,string
22:26:42:813,1,1,charlie,-,eq_check,alice,java.lang.String.toString
22:26:42:813,1,2,charlie,-,generateNumber,X0,anbxj.Crypto_ByteArray
22:26:42:813,1,2,charlie,bob,sent,X0,string
22:26:42:764,1,2,bob,charlie,received,X0,string
22:26:42:764,1,2,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
22:26:42:764,1,3,bob,alice,sent,X0,string
22:26:42:789,1,3,alice,bob,received,X0,string
22:26:42:789,1,3,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
22:26:42:789,1,4,alice,-,AnBx_Params,alice;charlie;X0,anbxj.AnBx_Params
22:26:42:789,1,4,alice,bob,sent,alice;charlie;X0,javax.crypto.SealedObject
22:26:42:764,1,4,bob,alice,received,alice;charlie;X0,javax.crypto.SealedObject
22:26:42:764,1,4,bob,-,inv_check,@3532ec19,javax.crypto.SealedObject.toString
22:26:42:764,1,5,bob,charlie,sent,@3532ec19,javax.crypto.SealedObject
22:26:42:813,1,5,charlie,bob,received,@3532ec19,javax.crypto.SealedObject
22:26:42:813,1,5,charlie,-,inv_check,@39aeed2f,javax.crypto.SealedObject.toString
22:26:42:813,1,6,charlie,-,AnBx_Params,alice;charlie;@39aeed2f,anbxj.AnBx_Params
22:26:42:813,1,6,charlie,bob,sent,alice;charlie;@39aeed2f,javax.crypto.SealedObject
22:26:42:764,1,6,bob,charlie,received,alice;charlie;@39aeed2f,javax.crypto.SealedObject
22:26:42:764,1,6,bob,-,inv_check,@47c62251,javax.crypto.SealedObject.toString
22:26:42:764,1,7,bob,david,sent,@47c62251,javax.crypto.SealedObject
22:26:42:771,1,7,david,bob,received,@47c62251,javax.crypto.SealedObject
22:26:42:771,1,7,david,-,eq_check,alice,java.lang.String.toString
22:26:42:771,1,7,david,-,eq_check,alice,java.lang.String.toString
22:26:42:771,1,7,david,-,eq_check,charlie,java.lang.String.toString
22:26:42:771,1,7,david,-,eq_check,charlie,java.lang.String.toString
22:26:42:771,1,8,david,-,AnBx_Params,alice;charlie;X0,anbxj.AnBx_Params
22:26:42:771,1,8,david,bob,sent,alice;charlie;X0,javax.crypto.SealedObject
22:26:42:764,1,8,bob,david,received,alice;charlie;X0,javax.crypto.SealedObject
22:26:42:764,1,8,bob,-,inv_check,@42d80b78,javax.crypto.SealedObject.toString
22:26:42:764,1,9,bob,charlie,sent,@42d80b78,javax.crypto.SealedObject
22:26:42:813,1,9,charlie,bob,received,@42d80b78,javax.crypto.SealedObject
22:26:42:813,1,9,charlie,-,eq_check,alice,java.lang.String.toString
22:26:42:813,1,9,charlie,-,eq_check,charlie,java.lang.String.toString
22:26:42:813,1,9,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
